Main Statistics

T;HLO;F1stLO;F2ndLO;S1stLO;S2ndLO;HSUI;F2ndSUI;F3rdSUI;S2ndSUI;S3rdSUI;SB2ndSUI
43;148.11018995836483;0.0;0.0;196.44177569900586;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
44;153.27154937309535;0.0;0.0;204.1513127221426;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
45;158.3154646538999;0.0;0.0;210.95981151754637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
46;163.85847012959778;0.0;0.0;216.0323246409879;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
47;168.98892987018766;0.0;0.0;221.4889663919986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
48;172.77542192582442;0.0;0.0;226.93606690296883;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
49;176.4453224660774;7.591368990592893;0.0;233.38241676157602;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
50;180.4558620508025;13.716988716332564;0.0;240.87921935479176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
51;183.75881420492564;19.229581441981455;0.0;247.24710571818127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
52;186.8873865944104;23.51022532547857;0.0;254.2730865638002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
53;189.9907693700436;27.22064610354717;0.0;259.43692281879646;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
54;192.90290958377022;30.518294706252995;0.0;264.67491266748965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
55;195.33984545375563;33.09050150737406;0.0;270.804948367866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.430385729517452;0.0;0.0;0.0;0.0;
56;197.5426256351289;35.39108908651156;0.0;276.2073600291465;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.028449592568904;0.0;0.0;0.0;0.0;
57;199.76499100253187;37.1203399348107;0.0;282.4032871998874;0.0;0.0;0.0;0.0;0.0;0.0;30.81670297416652;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.25918923776096;0.0;0.0;0.0;0.0;
58;201.98907995240523;38.76022647930852;0.0;288.48298497208714;0.0;0.0;0.0;0.0;0.0;0.0;69.78163281777127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.056425517464184;0.0;0.0;117.91245673306382;45.22442695866664;0.0;0.0;0.0;
59;204.0024013077395;39.83486446944354;0.0;293.8006128205275;0.0;0.0;0.0;0.0;0.0;0.0;111.9347214560037;0.0;0.0;0.0;0.0;3.7341863385964156;0.0;0.0;69.33027113005771;10.636394175053626;0.0;169.18544384334342;78.76881565590574;0.0;0.0;0.0;
